"text_id","source_type","provider_type","provider_name","created_at","rating","sentiment_label","topic_label","text","__source_file","source_url"
"EXTRA_T0001","review","HOSPITAL","A내과(강남점)","2025-12-20","5.0","positive","staff","접수부터 안내까지 친절해서 좋았어요. (異붽? ?뺣낫 ?쒓났)","C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_350.csv",""
"EXTRA_T0002","review","HOSPITAL","A내과(강남점)","2025-12-21","2.0","negative","wait","대기 시간이 너무 길었습니다. (異붽? ?뺣낫 ?쒓났)","C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_350.csv",""
"EXTRA_T0003","review","HOSPITAL","B이비인후과(강남역점)","2025-12-21","4.0","positive","explain","증상 설명을 이해하기 쉽게 해주셨어요. (異붽? ?뺣낫 ?쒓났)","C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_350.csv",""
"EXTRA_T0004","review","PHARMACY","B약국(홍대점)","2025-12-22","5.0","positive","speed","조제 속도가 빨라서 편했습니다. (異붽? ?뺣낫 ?쒓났)","C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_350.csv",""
"EXTRA_T0005","review","PHARMACY","B약국(홍대점)","2025-12-22","2.0","negative","price","가격 안내가 부족해서 아쉬웠어요. (異붽? ?뺣낫 ?쒓났)","C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_350.csv",""
"EXTRA_T0006","review","CHECKUP_CENTER","A검진센터(강남점)","2025-12-23","4.0","positive","process","검진 동선이 잘 안내되어 혼잡하지 않았어요. (異붽? ?뺣낫 ?쒓났)","C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_350.csv",""
"EXTRA_T0007","inquiry","HOSPITAL","C의원(홍대점)","2025-12-23","","neutral","reservation","오늘 진료 예약 가능한 시간대가 있나요? (異붽? ?뺣낫 ?쒓났)","C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_350.csv",""
"EXTRA_T0008","inquiry","HOSPITAL","C의원(홍대점)","2025-12-23","","neutral","policy","예약 변경은 언제까지 가능한가요? (異붽? ?뺣낫 ?쒓났)","C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_350.csv",""
"EXTRA_T0009","inquiry","PHARMACY","A약국(강남점)","2025-12-23","","neutral","pickup","처방전 없이도 일반약 구매가 가능한가요? (異붽? ?뺣낫 ?쒓났)","C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_350.csv",""
"EXTRA_T0010","inquiry","CHECKUP_CENTER","B검진센터(여의도점)","2025-12-24","","neutral","prep","건강검진 전 금식이 필요한가요? 몇 시간인가요? (異붽? ?뺣낫 ?쒓났)","C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_350.csv",""
